id,imdbid,bechdelRating,title,year,genres
69,114369,1,Se7en,1995,
70,119731,1,Murder at 1600,1997,
71,169547,3,American Beauty,1999,
72,268380,0,Ice Age,2002,
73,410377,3,Nim&#39;s Island,2008,
74,425061,1,Get Smart,2008,
75,319262,3,"Day After Tomorrow, The",2004,
76,371724,1,"Hitchhiker&#39;s Guide to the Galaxy, The",2005,
77,119177,1,Gattaca,1997,
78,164052,3,Hollow Man,2000,
79,260866,3,Don&#39;t Say A Word,2001,
80,493464,1,Wanted,2008,
81,1054485,2,Futurama: The Beast with a Billion Backs,2008,
82,144640,1,Three to Tango,1999,
83,119654,1,Men in Black,1997,
84,120912,1,Men in Black II,2002,
85,268995,1,"Majestic, The",2001,
87,114709,1,Toy Story,1995,
88,120363,1,Toy Story 2,1999,
89,434409,3,V for Vendetta,2005,
90,183523,1,Mission to Mars,2000,
91,110912,3,Pulp Fiction,1994,
93,211443,3,Jason X,2001,
94,164334,3,Along Came A Spider,2001,
95,120647,3,Deep Impact,1998,
96,257756,3,High Crimes,2002,
97,113243,2,Hackers,1995,
98,103639,0,Aladdin,1992,
99,358082,1,Robots,2005,
100,110357,1,"Lion King, The",1994,
101,120903,1,X-Men,2000,
102,290334,3,X2 (X-Men 2),2003,
103,825232,1,"Bucket List, The",2007,
104,289879,2,"Butterfly Effect, The",2004,
105,118971,3,"Devil&#39;s Advocate, The",1997,
106,112642,3,Casper,1995,
107,120201,3,Starship Troopers,1997,
108,372183,2,"Bourne Supremacy, The",2004,
109,107290,3,Jurassic Park,1993,
110,114069,3,Outbreak,1995,
111,116684,3,Jane Eyre,1996,
112,190865,1,Vertical Limit,2000,
114,107048,2,Groundhog Day,1993,
115,181689,1,Minority Report,2002,
116,280590,2,Mr Deeds,2002,
117,106697,0,Demolition Man,1993,
118,100802,1,Total Recall,1990,
119,297181,1,I Spy,2002,
120,110148,1,Interview with the Vampire,1994,
121,278504,1,Insomnia,2002,
122,184894,1,Shanghai Noon,2000,
123,300471,1,Shanghai Knights,2003,
124,162661,3,Sleepy Hollow,1999,
125,183649,1,Phone Booth,2002,
126,309698,1,Identity,2003,
127,158409,1,Future Sport,1998,
128,258463,1,"Bourne Identity, The",2002,
129,117723,1,Spy Hard,1996,
130,242423,2,"Dude, Where&#39;s My Car",2000,
131,190138,3,"Whole Nine Yards, The",2000,
132,327247,1,"Whole Ten Yards, The",2004,
133,338013,2,Eternal Sunshine of the Spotless Mind,2004,
134,93105,1,"Good Morning, Vietnam",1987,
135,180052,2,"Adventures of Pluto Nash, The",2002,
136,96438,1,Who Framed Roger Rabbit,1988,
137,117951,2,Trainspotting,1996,
138,253754,1,Star Trek: Nemesis,2002,
139,42192,3,All About Eve,1950,
140,871426,3,Baby Mama,2008,
141,1029134,3,Birds of America,2008,
142,315327,3,Bruce Almighty,2003,
143,258153,3,S1m0ne,2002,
144,458352,3,"Devil Wears Prada, The",2006,
145,799934,1,Be Kind Rewind,2008,
146,134273,1,8MM,1999,
147,112864,1,Die Hard: With a Vengeance,1995,
148,198781,1,"Monsters, Inc.",2001,
149,88763,2,Back to the Future,1985,
150,96874,3,Back to the Future Part II,1989,
151,99088,1,Back to the Future Part III,1990,
152,120917,3,"Emperor&#39;s New Groove, The",2000,
153,160611,1,Ordinary Decent Criminal,2000,
154,218817,2,Antitrust,2001,
155,261392,3,Jay and Silent Bob Strike Back,2001,
156,362269,3,Kinsey,2004,
157,120762,3,Mulan,1998,
158,253126,3,High Heels and Low Lifes,2001,
159,98554,3,Uncle Buck,1989,
160,238380,1,Equilibrium,2002,
161,126029,1,Shrek,2001,
162,298148,3,Shrek 2,2004,
163,112950,3,Empire Records,1995,
164,251075,3,Evolution,2001,
165,120382,1,"Truman Show, The",1998,
166,884819,3,Wool 100%,2007,
167,383574,2,Pirates of the Caribbean: Dead Man&#39;s Chest,2006,
168,358273,3,Walk the Line,2005,
169,449088,3,Pirates of the Caribbean: At World&#39;s End,2007,
170,181316,1,Blue Streak,1999,
171,472160,3,Penelope,2006,
172,274558,3,"Hours, The",2002,
174,32138,3,"Wizard of Oz, The",1939,
175,258273,3,Lovely and Amazing,2001,
176,443274,3,Vantage Point,2008,
177,469494,0,There Will Be Blood,2007,
178,268978,1,A Beautiful Mind,2001,
179,299658,3,Chicago,2002,
180,478311,3,Knocked Up,2007,
181,98635,3,When Harry Met Sally,1989,
182,115736,3,Bound,1996,
183,101414,3,Beauty and the Beast,1991,
184,112508,1,Billy Madison,1995,
188,427327,3,Hairspray,2007,
189,887883,1,Burn After Reading,2008,
190,371746,2,Iron Man,2008,
191,1033643,3,What Happens In Vegas,2008,
192,811080,3,Speed Racer,2008,
193,765476,1,Meet Dave,2008,
194,373051,1,Journey to the Center of the Earth,2008,
195,800080,1,"Incredible Hulk, The",2008,
196,800308,1,Appaloosa,2008,
197,981227,3,Nick and Norah&#39;s Infinite Playlist,2008,
198,454921,0,"Pursuit of Happyness, The",2006,
199,377092,3,Mean Girls,2004,
200,286499,3,Bend It Like Beckham,2002,
201,36613,3,Arsenic and Old Lace,1944,
202,57115,0,"Great Escape, The",1963,
203,88847,3,"Breakfast Club, The",1985,
204,379786,3,Serenity,2005,
205,112573,2,Braveheart,1995,
207,114148,3,Pocahontas,1995,
208,80455,1,"Blues Brothers, The",1980,
209,100944,3,"Witches, The",1990,
210,137523,1,Fight Club,1999,
211,91042,3,Ferris Bueller&#39;s Day Off,1986,
212,988595,3,27 Dresses,2008,
213,366551,3,Harold and Kumar Go to White Castle,2004,
214,411477,1,Hellboy II: The Golden Army,2008,
215,457939,3,"Holiday, The",2006,
216,120631,3,Ever After,1998,
217,430922,1,Role Models,2008,
218,398712,3,Assault on Precinct 13,2005,
219,74156,3,Assault on Precinct 13,1976,
220,397892,3,Bolt,2008,
221,381061,1,Casino Royale,2006,
222,452608,1,Death Race,2008,
223,165798,1,Ghost Dog: The Way of the Samurai,1999,
224,284363,1,I Served the King of England,2006,
225,286975,3,Slashers,2001,
226,162346,3,Ghost World,2001,
229,373469,1,Kiss Kiss Bang Bang,2005,
230,73540,3,Picnic at Hanging Rock,1975,
231,84589,3,Le Retour de Martin Guerre,1982,
232,169102,3,Lagaan - Once Upon a Time in India,2001,
233,929425,1,Gomorra,2008,
234,83658,1,Blade Runner,1982,
235,236348,3,Josie and the Pussycats,2001,
236,53198,0,"400 Blows, The",1959,
237,55032,1,Jules and Jim,1962,
238,77405,3,Days of Heaven,1978,
239,67959,1,Walkabout,1971,
240,845046,1,Son of Rambow,2007,
241,1129442,0,Transporter 3,2008,
242,1013753,1,Milk,2008,
243,252444,3,Rabbit-Proof Fence,2002,
244,179116,3,But I&#39;m a Cheerleader,1999,
245,497465,3,Vicky Cristina Barcelona,2008,
246,120737,1,"Lord of the Rings: The Fellowship of the Ring, The",2001,
247,167261,1,"Lord of the Rings: The Two Towers, The",2002,
248,167260,1,"Lord of the Rings: The Return of the King, The",2003,
249,197096,3,What&#39;s Cooking?,2000,
250,418763,0,Jarhead,2005,
251,1010048,1,Slumdog Millionaire,2008,
252,978759,3,Frozen River,2008,
253,91369,3,Labyrinth,1986,
254,918927,3,Doubt,2008,
255,65531,0,Le Cercle Rouge,1970,
256,94898,3,Coming to America,1988,
257,70233,1,Ivan Vasilevich menyaet professiyu,1973,
258,347149,3,Hauru no ugoku shiro (Howl's Moving Castle),2004,
259,96283,3,Tonari no Totoro,1988,
260,838283,1,Step Brothers,2008,
261,110008,1,Heisei tanuki gassen pompoko,1994,
262,407265,3,Transamerica,2005,
263,942385,0,Tropic Thunder,2008,
264,71381,3,Celine and Julie Go Boating,1974,
265,981072,3,"Lucky Ones, The",2008,
266,103074,3,Thelma &amp; Louise,1991,
267,114388,3,Sense and Sensibility,1995,
268,172493,3,"Girl, Interrupted",1999,
269,69762,0,Badlands,1973,
271,340855,3,Monster,2003,
272,120863,1,"Thin Red Line, The",1998,
273,976051,1,"Reader, The",2008,
275,959337,3,Revolutionary Road,2008,
276,1054487,3,Futurama: Into the Wild Green Yonder,2009,
278,1079444,3,Dead Like Me: Life After Death,2009,
279,1174954,3,Resident Evil: Degeneration,2008,
280,120804,3,Resident Evil,2002,
281,318627,3,Resident Evil: Apocalypse,2004,
282,171804,3,Boys Don&#39;t Cry,1999,
283,90605,3,Aliens,1986,
284,443455,3,Brand Upon The Brain!,2006,
285,1125849,1,"Wrestler, The",2008,
286,824747,3,Changeling,2008,
287,113824,3,Mimi wo sumaseba (Whisper of the Heart),1995,
288,245238,3,Lost and Delirious,2001,
289,479884,0,Crank,2006,
290,422720,3,Marie Antoinette,2006,
291,31381,3,Gone with the Wind,1939,
292,337909,3,Calendar Girls,2003,
293,73747,3,"Stepford Wives, The",1975,
294,112579,3,"Bridges of Madison County, The",1995,
295,808417,3,Persepolis,2007,
296,103644,0,Alien 3,1992,
297,118583,3,Alien: Resurrection,1997,
298,970416,3,"Day the Earth Stood Still, The",2008,
299,388473,3,Tokyo Godfathers,2003,
300,120692,3,Strike!,1998,
301,61512,1,Cool Hand Luke,1967,
302,50083,0,12 Angry Men,1957,
303,77975,2,Animal House,1978,
304,67992,2,Willy Wonka &amp; the Chocolate Factory,1971,
305,1068680,1,Yes Man,2008,
306,494238,3,Inkheart,2008,
307,1112782,1,Thick as Thieves,2009,
308,102587,3,Omohide poro poro,1991,
309,467197,3,Max Payne,2008,
310,960731,3,Bedtime Stories,2008,
311,1091722,3,Adventureland,2009,
312,861739,3,Tropa de Elite,2007,
313,758758,1,Into the Wild,2007,
314,327597,3,Coraline,2009,
315,974661,3,17 Again,2009,
316,795421,3,Mamma Mia!,2008,
317,376994,3,X-Men: The Last Stand,2006,
318,118883,2,Conspiracy Theory,1997,
319,134847,3,Pitch Black,2000,
320,298814,3,"Core, The",2003,
321,92890,3,Dirty Dancing,1987,
322,93779,2,"Princess Bride, The",1987,
323,63668,0,Taiyo no oji: Horusu no daiboken,1968,
324,796366,3,Star Trek,2009,
325,306047,3,Scary Movie 3,2003,
326,119698,3,Mononoke-hime,1997,
327,481141,3,No Reservations,2007,
328,400497,3,Herbie Fully Loaded,2005,
330,424205,0,Joyeux No&euml;l,2005,
331,808151,0,Angels &amp; Demons,2009,
332,206634,3,Children of Men,2006,
333,228333,3,Ghosts of Mars,2001,
334,1049413,1,Up,2009,
335,486655,3,Stardust,2007,
336,98189,1,Resan till Melonia,1989,
337,73802,1,Three Days of the Condor,1975,
338,1054486,1,Futurama: Bender&#39;s Game,2008,
339,111161,0,"Shawshank Redemption, The",1994,
340,82971,3,Raiders of the Lost Ark,1981,
341,57012,0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,
342,360201,3,Wimbledon,2004,
343,120514,3,Wilde,1997,
344,438488,2,Terminator Salvation,2009,
345,120338,3,Titanic,1997,
346,862846,3,Sunshine Cleaning,2008,
347,821642,1,"Soloist, The",2009,
348,212826,3,Bread and Roses,2000,
349,380366,2,Ae Fond Kiss...,2004,
350,970468,3,Miss Pettigrew Lives for a Day,2008,
351,425112,1,Hot Fuzz,2007,
352,357413,3,Anchorman: The Legend of Ron Burgundy,2004,
353,465580,3,Push,2009,
354,448011,1,Knowing,2009,
355,430770,3,"Women, The",2008,
356,155776,3,Jawbreaker,1999,
357,49730,3,"Searchers, The",1956,
358,409459,3,Watchmen,2009,
359,247638,3,"Princess Diaries, The",2001,
360,80716,3,Fame,1980,
361,1119646,1,"Hangover, The",2009,
362,265666,3,"Royal Tenenbaums, The",2001,
363,283832,3,8 femmes,2002,
364,418773,3,Junebug,2005,
365,120777,3,"Opposite of Sex, The",1998,
366,441909,3,Volver,2006,
367,185125,3,Todo sobre mi madre (All About My Mother),1999,
368,165078,3,Wand&acirc;furu raifu,1998,
369,117008,3,Matilda,1996,
370,416496,3,Bandidas,2006,
371,1152836,1,Public Enemies,2009,
372,477095,2,Starter for 10,2006,
373,373889,3,Harry Potter and the Order of the Phoenix,2007,
374,147800,3,10 Things I Hate About You,1999,
375,417741,3,Harry Potter and the Half-Blood Prince,2009,
376,87332,2,Ghostbusters,1984,
377,758751,3,Grey Gardens,2009,
378,331933,3,Man of the House,2005,
379,435625,3,"Descent, The",2005,
380,861689,3,Blindness,2008,
381,787523,3,Towelhead,2007,
382,183790,2,A Knight&#39;s Tale,2001,
383,31235,2,Dodge City,1939,
384,910936,2,Pineapple Express,2008,
385,1196339,3,Princess Protection Program,2009,
402,89393,3,Just One of the Guys,1985,
403,79522,1,Manhattan,1979,
404,128445,3,Rushmore,1998,
405,76584,0,Quel maledetto treno blindato,1978,
406,87363,1,Gremlins,1984,
407,82198,1,Conan the Barbarian,1982,
408,1201167,1,Funny People,2009,
410,486583,1,Fred Claus,2007,
411,325703,3,Lara Croft Tomb Raider: The Cradle of Life,2003,
412,146316,0,Lara Croft: Tomb Raider,2001,
413,87078,3,Conan the Destroyer,1984,
414,427944,1,Thank You for Smoking,2005,
415,424136,3,Hard Candy,2005,
416,477347,3,Night at the Museum,2006,
417,462538,3,"Simpsons Movie, The",2007,
418,89893,3,Red Sonja,1985,
419,787475,1,Hot Rod,2007,
420,433383,1,"Good Night, and Good Luck.",2005,
421,457430,3,El laberinto del fauno (Pan's Labyrinth),2006,
422,418279,3,Transformers,2007,
423,806027,3,Blood: The Last Vampire,2009,
424,118928,3,Dante's Peak,1997,
425,119528,1,Liar Liar,1997,
426,119137,2,Flubber,1997,
427,1135503,3,Julie &amp; Julia,2009,
428,936501,3,Taken,2008,
429,406759,3,"Eye, The",2008,
430,217355,3,Dancing at the Blue Iguana,2000,
431,115759,0,Broken Arrow,1996,
432,99785,3,Home Alone,1990,
433,104431,3,Home Alone 2: Lost in New York,1992,
434,1022603,1,(500) Days of Summer,2009,
435,117705,1,Space Jam,1996,
436,107614,3,Mrs. Doubtfire,1993,
440,111257,3,Speed,1994,
441,109040,2,Ace Ventura: Pet Detective,1994,
442,86312,3,Silkwood,1983,
443,100140,3,Mermaids,1990,
444,116629,3,Independence Day,1996,
445,117060,1,Mission: Impossible,1996,
446,120184,1,Sphere,1998,
447,940709,1,CJ7 (Changjiang 7 hao),2008,
448,116367,1,From Dusk Till Dawn,1996,
449,115798,1,"Cable Guy, The",1996,
450,104348,0,Glengarry Glen Ross,1992,
451,104257,1,A Few Good Men,1992,
452,195685,3,Erin Brockovich,2000,
453,1046173,1,G.I. Joe: The Rise of Cobra,2009,
454,99864,1,It,1990,
455,85333,1,Christine,1983,
456,1111422,0,"Taking of Pelham 123, The",2009,
457,74285,3,Carrie,1976,
458,1080016,1,Ice Age: Dawn of the Dinosaurs,2009,
459,100157,1,Misery,1990,
460,118636,1,Apt Pupil,1998,
461,382077,3,Hide and Seek,2005,
462,455805,3,Then She Found Me,2007,
463,1059786,1,Eagle Eye,2008,
464,962726,3,High School Musical 3: Senior Year,2008,
465,830515,1,Quantum of Solace,2008,
467,102609,3,Other People's Money,1991,
468,1136608,1,District 9,2009,
469,876563,3,Gake no ue no Ponyo,2008,
470,1054588,1,Flash of Genius,2008,
471,1148204,3,Orphan,2009,
472,377062,0,Flight of the Phoenix,2004,
473,823671,3,Tinker Bell,2008,
474,53285,3,Sleeping Beauty,1959,
475,349903,2,Ocean's Twelve,2004,
476,496806,1,Ocean's Thirteen,2007,
477,1055369,3,Transformers: Revenge of the Fallen,2009,
478,32910,1,Pinocchio,1940,
479,486822,3,Disturbia,2007,
480,889583,0,Br&uuml;no,2009,
484,92067,3,Tenk&ucirc; no shiro Rapyuta,1986,
485,1132620,3,"Girl with the Dragon Tattoo, The",2009,
486,89748,3,Otac na sluzbenom putu,1985,
487,385752,3,"Golden Compass, The",2007,
488,109445,1,Clerks.,1994,
489,113749,2,Mallrats,1995,
490,775529,3,"Savages, The",2007,
491,258068,2,"Quiet American, The",2002,
492,964516,3,Fashion,2008,
493,61852,1,"Jungle Book, The",1967,
494,472033,0,9,2009,
495,887912,1,"Hurt Locker, The",2008,
496,1226774,3,In the Loop,2009,
497,1178663,3,Whatever Works,2009,
498,1135487,2,Duplicity,2009,
499,1084950,3,Rachel Getting Married,2008,
500,808244,3,Easy Virtue,2008,
501,1099212,3,Twilight,2008,
502,1205489,2,Gran Torino,2008,
503,892255,1,Che: Part One,2008,
504,421715,3,"Curious Case of Benjamin Button, The",2008,
505,118715,1,"Big Lebowski, The",1998,
506,120669,1,Fear and Loathing in Las Vegas,1998,
507,458525,3,X-Men Origins: Wolverine,2009,
508,266697,3,Kill Bill: Vol. 1,2003,
509,378194,3,Kill Bill: Vol. 2,2004,
510,325980,3,Pirates of the Caribbean: The Curse of the Black Pearl,2003,
511,98206,1,Road House,1989,
512,102685,0,Point Break,1991,
513,995039,1,Ghost Town,2008,
514,86992,3,"Bostonians, The",1984,
515,77711,3,H&ouml;stsonaten,1978,
516,120879,2,Velvet Goldmine,1998,
517,399201,3,"Island, The",2005,
518,1124039,0,Echelon Conspiracy,2009,
519,1155056,2,"I Love You, Man",2009,
520,90305,3,Weird Science,1985,
521,404203,3,Little Children,2006,
522,1172233,3,Whip It,2009,
523,1129435,3,"Beaches of Agnes, The",2008,
524,119173,3,G.I. Jane,1997,
525,117420,0,"Quest, The",1996,
526,459102,3,Import/Export,2007,
527,986263,1,Surrogates,2009,
528,1156398,3,Zombieland,2009,
529,73179,2,"Ironiya sudby, ili S legkim parom!",1975,
530,907657,2,Once,2006,
531,1107860,0,"Maiden Heist, The",2009,
532,133751,3,"Faculty, The",1998,
533,100395,3,Postcards from the Edge,1990,
534,844471,1,Cloudy with a Chance of Meatballs,2009,
535,116130,0,Down Periscope,1996,
536,1424431,1,Tsar,2009,
537,108941,3,"Stand, The",1994,
538,210070,3,Ginger Snaps,2000,
539,834001,1,Underworld: Rise of the Lycans,2009,
540,818165,3,"Alphabet Killer, The",2008,
541,1082868,3,Quarantine,2008,
542,963194,3,Repo! The Genetic Opera,2008,
543,107843,3,Point of No Return/The Assassin,1993,
544,1182345,1,Moon,2009,
545,832266,3,"Definitely, Maybe",2008,
546,452702,0,Vacancy,2007,
547,93870,1,RoboCop,1987,
548,1234548,0,"Men Who Stare at Goats, The",2009,
549,480249,3,I Am Legend,2007,
550,432283,1,Fantastic Mr. Fox,2009,
551,367631,3,D.E.B.S.,2004,
552,300532,3,Blue Crush,2002,
553,265343,3,Monsoon Wedding,2001,
554,120888,3,"Wedding Singer, The",1998,
555,1058017,2,"Invention of Lying, The",2009,
556,108160,2,Sleepless in Seattle,1993,
557,361748,3,Inglourious Basterds,2009,
558,108432,3,Umi ga kikoeru,1993,
559,420223,3,Stranger Than Fiction,2006,
560,104694,3,A League of Their Own,1992,
561,393109,1,Brick,2005,
562,780521,3,"Princess and the Frog, The",2009,
563,1186367,1,Ninja Assassin,2009,
564,73076,3,Grey Gardens,1975,
565,338139,3,Iron Jawed Angels,2004,
566,114436,3,Showgirls,1995,
567,110005,3,Heavenly Creatures,1994,
568,166924,3,Mulholland Dr.,2001,
569,114614,3,Tank Girl,1995,
570,87544,3,Kaze no tani no Naushika,1984,
571,109676,2,Drop Zone,1994,
572,96320,3,Twins,1988,
573,118880,2,Con Air,1997,
574,111438,1,Timecop,1994,
575,87928,3,Police Academy,1984,
576,89822,1,Police Academy 2: Their First Assignment,1985,
577,91777,1,Police Academy 3: Back in Training,1986,
578,1193138,2,Up in the Air,2009,
579,93756,1,Police Academy 4: Citizens on Patrol,1987,
580,95882,1,Police Academy 5: Assignment: Miami Beach,1988,
581,98105,1,Police Academy 6: City Under Siege,1989,
582,499549,2,Avatar,2009,
583,65466,3,Beyond the Valley of the Dolls,1970,
584,893402,2,Franklyn,2008,
585,448134,1,Sunshine,2007,
586,47349,2,Phffft,1954,
587,107120,3,Hocus Pocus,1993,
588,32143,3,"Women, The",1939,
589,60827,3,Persona,1966,
590,54469,2,Where the Boys Are,1960,
591,97940,3,Mystery Train,1989,
592,147004,3,Little Voice,1998,
593,31971,3,Stagecoach,1939,
594,29971,2,Carefree,1938,
595,27125,2,Top Hat,1935,
596,28333,1,Swing Time,1936,
597,29546,1,Shall We Dance,1937,
598,298228,3,Whale Rider,2002,
599,63442,1,Planet of the Apes,1968,
600,838221,1,"Darjeeling Limited, The",2007,
601,59742,3,"Sound of Music, The",1965,
602,88683,3,Agnes of God,1985,
603,492481,3,Puccini for Beginners,2006,
604,435623,0,Conversations with Other Women,2005,
605,212604,0,Tully,2000,
606,282593,0,I&#39;m with Lucy,2002,
607,57187,2,Irma la Douce,1963,
608,43014,1,Sunset Blvd.,1950,
609,52357,1,Vertigo,1958,
610,22100,3,M,1931,
611,41959,0,"Third Man, The",1949,
612,45152,3,Singin&#39; in the Rain,1952,
613,86879,3,Amadeus,1984,
614,118799,0,La vita &egrave; bella,1997,
615,437800,3,Akeelah and the Bee,2006,
616,61722,2,"Graduate, The",1967,
617,264464,1,Catch Me If You Can,2002,
618,32976,3,Rebecca,1940,
619,95016,3,Die Hard,1988,
620,30341,3,"Lady Vanishes, The",1938,
621,25316,3,It Happened One Night,1934,
622,38787,2,Notorious,1946,
623,119217,0,Good Will Hunting,1997,
624,263757,3,Uptown Girls,2003,
625,181984,1,Boiler Room,2000,
626,66434,0,THX 1138,1971,
627,454945,3,She&#39;s the Man,2006,
628,22183,3,M&auml;dchen in Uniform,1931,
629,57413,1,"Pink Panther, The",1963,
630,408236,1,Sweeney Todd: The Demon Barber of Fleet Street,2007,
631,29604,3,Stage Door,1937,
632,988045,1,Sherlock Holmes,2009,
633,929632,3,Precious: Based on the Novel Push by Sapphire,2009,
634,119925,1,"Postman, The",1997,
635,1212974,3,Bitch Slap,2009,
636,22208,3,Night Nurse,1931,
637,112701,3,Cold Comfort Farm,1995,
638,332375,3,Saved!,2004,
639,264761,3,Kissing Jessica Stein,2001,
640,113347,3,How to Make an American Quilt,1995,
641,1172994,3,"House of the Devil, The",2009,
642,971209,3,A Perfect Getaway,2009,
643,1131734,3,Jennifer&#39;s Body,2009,
644,870984,0,Antichrist,2009,
646,289043,3,28 Days Later...,2002,
647,94721,3,Beetle Juice,1988,
648,449059,3,Little Miss Sunshine,2006,
649,117571,3,Scream,1996,
650,460732,3,Caffeine,2006,
651,829482,3,Superbad,2007,
652,419887,0,"Kite Runner, The",2007,
653,499537,3,Offside,2006,
654,1127180,3,Drag Me to Hell,2009,
655,212346,3,Miss Congeniality,2000,
656,53459,3,Les yeux sans visage,1960,
657,46451,1,Touchez pas au grisbi,1954,
658,58946,1,La battaglia di Algeri,1966,
659,113568,0,K&ocirc;kaku kid&ocirc;tai (Ghost in the Shell),1995,
660,55630,1,Yojimbo,1961,
661,58461,1,Per un pugno di dollari (A Fisful of Dollars),1964,
662,119081,3,Event Horizon,1997,
665,1252595,3,Ghosted,2009,
666,97757,3,"Little Mermaid, The",1989,
667,1179904,3,Paranormal Activity,2007,
668,1139797,1,L&aring;t den r&auml;tte komma in (Let the Right One In),2008,
669,76759,1,Star Wars,1977,
670,80684,0,Star Wars: Episode V - The Empire Strikes Back,1980,
671,86190,1,Star Wars: Episode VI - Return of the Jedi,1983,
672,120915,3,Star Wars: Episode I - The Phantom Menace,1999,
673,121765,3,Star Wars: Episode II - Attack of the Clones,2002,
674,121766,1,Star Wars: Episode III - Revenge of the Sith,2005,
675,114558,3,Strange Days,1995,
676,380761,2,Tomo yo shizukani nemure,1985,
677,1272041,3,My Queen Karo,2009,
678,1216496,3,Madeo,2009,
679,69293,1,Solyaris,1972,
680,814331,3,Spring Breakdown,2009,
681,35019,3,"Major and the Minor, The",1942,
682,346156,3,Sky Captain and the World of Tomorrow,2004,
684,79579,3,Moskva slezam ne verit,1980,
685,240200,3,Water,2005,
686,477348,3,No Country for Old Men,2007,
687,120630,3,Chicken Run,2000,
688,76727,3,Sluzhebnyy roman,1977,
689,35140,3,"Now, Voyager",1942,
691,56111,1,Ivanovo detstvo,1962,
692,1186830,1,Agora,2009,
693,76843,3,"Turning Point, The",1977,
694,455407,3,"Crazies, The",2010,
695,80120,1,"Warriors, The",1979,
696,1054606,1,"Imaginarium of Doctor Parnassus, The",2009,
697,1315981,1,A Single Man,2009,
698,265086,0,Black Hawk Down,2001,
699,1014759,3,Alice in Wonderland,2010,
700,97814,3,Majo no takky&ucirc;bin (Kiki&#39;s Delivery Service),1989,
701,58331,3,Mary Poppins,1964,
702,1305583,3,Our Family Wedding,2010,
703,485601,0,"Secret of Kells, The",2009,
704,947810,0,Green Zone,2010,
705,1196141,3,Diary of a Wimpy Kid,2010,
706,360717,0,King Kong,2005,
707,275847,3,Lilo and Stitch,2002,
708,69089,3,Pink Flamingos,1972,
709,875034,2,Nine,2009,
710,103030,3,Tacones Lejanos,1991,
711,892769,3,How to Train Your Dragon,2010,
712,1379182,3,Dogtooth,2009,
713,898367,1,"Road, The",2009,
714,1012729,3,Helen,2009,
715,1231587,1,Hot Tub Time Machine,2010,
716,1130884,1,Shutter Island,2010,
717,780653,1,"Wolfman, The",2010,
718,380510,3,"Lovely Bones, The",2009,
719,421994,3,Imagine Me &amp;amp; You,2005,
720,93058,0,Full Metal Jacket,1987,
721,1426374,1,Los viajes del viento,2009,
722,69995,3,Don&#39;t look now,1973,
723,1053424,3,Repo Men,2010,
724,1259574,1,Red Riding: In the Year of Our Lord 1974,2009,
725,460989,1,"Wind That Shakes the Barley, The",2006,
726,1232207,1,Capitalism: A Love Story,2009,
727,108265,1,Swing Kids,1993,
